Site,Depth_m,Depth_group2,Depth_group,Habitat,Habitat_simplified,Aspect_descriptive,browser,cleaner,corallivore,cropper,detritivore,excavator,invertivore-mobile,invertivore-sessile,macro-invertivore,micro-invertivore,NA,omnivore,pisci-invertivore,piscivore,planktivore,scraper,spongivore
FLIN-01,98.6,100,Lower_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-02,40,40,Upper_meso,lagoon,lagoon,flat,0,0,0,0,63.4669607,0,0,0,15111.96289,2523.691536,0,0,0,33675.32174,1349.250447,0,0
FLIN-02,40.2,50,Upper_meso,lagoon,lagoon,flat,0,0,0,0,0,0,0,0,7132.382845,255.3102811,0,0,0,0,242.0673953,0,0
FLIN-02,41.5,50,Upper_meso,lagoon,lagoon,flat,0,0,0,45.42458404,0,0,0,0,6926.06532,2555.318627,0,0,16858.12827,0,11.18927691,0,0
FLIN-02,42.1,50,Upper_meso,lagoon,lagoon,flat,0,0,0,0,0,0,0,0,2680.335264,0,0,0,0,0,0,0,0
FLIN-02,43.3,50,Upper_meso,lagoon,lagoon,flat,0,0,0,4495.561102,0,0,0,0,8651.714424,70.66860506,1641.173218,0,16443.64059,6725.024218,21.31087952,0,0
FLIN-02,44,50,Upper_meso,lagoon,lagoon,flat,0,0,0,96.15064058,0,242.9840042,0,0,298.6942548,662.744694,217.7135052,0,72988.72438,0,5.830566167,0,0
FLIN-04,17.4,20,Shallow,lagoon,lagoon,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-04,18.8,20,Shallow,lagoon,lagoon,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-04,34.1,40,Upper_meso,lagoon,lagoon,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAN-01,8,10,Shallow,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAN-01,14,20,Shallow,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAN-01,25,30,Shallow,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAN-01,35,40,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAN-01,42,50,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAN-01,52,60,Upper_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
