Site,Depth_m,Temperature,Habitat,Habitat_simplified,Aspect_descriptive,Aspect_scale,Benthic_Complexity,browser,cleaner,corallivore,cropper/grazer,detritivore,excavator,macro-invertivore,micro-invertivore,NA,pisci-invertivore,piscivore,planktivore,scraper,spongivore,omnivore,invertivore-sessile,invertivore-mobile,All_herbs
EDIA-01,45,25.99,bommie,lagoon,gentle_slope,1,2,0,0,1,9,0,0,0,3,0,0,0,41,0,2,7,0,0,9
EDIA-01,48,26.03,bommie,lagoon,flat,0,2,0,0,0,6,0,0,4,1,3,0,2,5,0,0,9,0,0,6
EDIA-01,48,26.03,bommie,lagoon,gentle_slope,1,2,0,0,0,13,0,0,1,5,3,1,1,15,2,0,0,0,0,15
EDIA-01,50,26.06,bommie,lagoon,flat,0,2,0,0,0,4,0,0,1,1,1,0,0,7,0,0,3,0,0,4
EDIA-02,8.7,25.5,inner_reef,inner_reef,steep_slope,3,2,0,0,1,5,2,0,0,3,0,0,0,8,1,0,0,0,0,8
EDIA-02,9,25.6,inner_reef,inner_reef,steep_slope,3,2,0,0,0,12,0,2,1,1,0,0,0,33,2,0,0,0,0,16
EDIA-02,15.2,25.5,inner_reef,inner_reef,moderate_slope,2,2,0,0,0,6,0,2,0,1,0,0,0,14,6,0,0,0,0,14
EDIA-02,15.4,25.5,inner_reef,inner_reef,moderate_slope,2,3,0,0,0,11,0,0,0,3,0,0,0,32,1,0,0,0,0,12
EDIA-02,19.1,25.6,inner_reef,inner_reef,gentle_slope,1,2,0,0,1,4,0,0,0,1,0,2,0,70,1,0,1,0,0,5
EDIA-02,20,25.6,inner_reef,inner_reef,gentle_slope,1,2,0,0,0,8,0,0,3,0,0,1,0,31,2,0,0,0,0,10
EDIA-02,24.2,25.7,inner_reef,inner_reef,gentle_slope,1,2,0,0,0,7,0,1,5,1,0,2,0,8,0,0,5,0,0,8
EDIA-02,25,25.7,inner_reef,inner_reef,steep_slope,3,2,0,0,0,7,0,1,10,4,0,2,1,29,2,0,2,0,0,10
EDIA-02,30.9,25.8,inner_reef,inner_reef,flat,0,1,0,0,0,4,0,0,0,2,0,0,3,39,0,0,0,0,0,4
EDIA-02,32.8,25.6,inner_reef,inner_reef,gentle_slope,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
EDNA-01,9.8,25.3,outer_reef,outer_slope,flat,0,1,6,0,0,24,4,0,5,2,22,1,0,15,0,0,0,0,0,34
EDNA-01,14,25.3,outer_reef,outer_slope,moderate_slope,2,3,0,0,1,0,12,0,4,5,8,0,0,23,0,0,0,0,0,12
EDNA-01,19.1,25.4,outer_reef,outer_slope,flat,0,3,0,0,3,3,0,0,1,2,39,1,0,17,0,0,0,0,0,3
EDNA-01,26.7,25.5,outer_reef,outer_slope,gentle_slope,1,3,0,0,0,7,11,0,4,6,10,4,0,28,0,0,5,0,0,18
EDNA-01,39,25.5,outer_reef,outer_slope,moderate_slope,2,4,0,0,2,10,3,0,28,11,60,3,0,24,6,0,0,0,0,19
EDNA-01,48,25.5,outer_reef,outer_slope,moderate_slope,2,3,0,0,0,3,0,0,0,3,10,1,0,40,0,0,5,0,0,3
EDNA-01,51.3,25.6,outer_reef,outer_slope,gentle_slope,1,1,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0
EDNA-01,63,25.6,outer_reef,outer_slope,gentle_slope,1,2,0,0,0,0,0,0,0,6,0,0,0,26,0,0,0,0,0,0
EDNA-01,69,25.6,outer_reef,outer_slope,moderate_slope,2,2,0,0,0,0,0,0,0,1,2,3,0,8,0,0,0,0,0,0
EDNA-01,79,25.7,outer_reef,outer_slope,moderate_slope,2,5,2,0,2,4,0,0,9,14,37,1,8,136,3,0,0,0,0,9
EDNA-01,86,25.7,outer_reef,outer_slope,moderate_slope,2,5,0,0,0,0,0,0,2,1,20,4,0,49,0,0,0,0,0,0
EDNA-01,96,25.9,outer_reef,outer_slope,moderate_slope,2,3,0,0,0,0,0,0,3,1,26,1,1,148,0,0,0,0,0,0
FLIN-01,5.2,28.6,outer_reef,outer_slope,gentle_slope,1,2,2,0,0,0,5,0,0,2,0,0,0,13,0,0,0,0,0,7
